trade_date,vol
20170103,
20170104,
20170105,
20170106,
20170109,
20170110,
20170111,
20170112,
20170113,
20170116,
20170117,
20170118,
20170119,
20170120,
20170123,
20170124,
20170125,
20170126,
20170203,
20170206,
20170207,
20170208,
20170209,
20170210,
20170213,
20170214,
20170215,
20170216,
20170217,
20170220,
20170221,
20170222,
20170223,
20170224,
20170227,
20170228,
20170301,
20170302,
20170303,
20170306,
20170307,
20170308,
20170309,
20170310,
20170313,
20170314,
20170315,
20170316,
20170317,
20170320,
20170321,
20170322,
20170323,
20170324,
20170327,
20170328,
20170329,
20170330,
20170331,
20170405,1.4879094335447032
20170406,1.3910211473498382
20170407,2.232889206995685
20170410,2.8029452047019996
20170411,3.415247231098156
20170412,1.3044566159088344
20170413,0.36977536542346434
20170414,0.5131553731079311
20170417,0.18418540745411383
20170418,-0.039084050850143943
20170419,1.1653752980584073
20170420,0.1390060306908735
20170421,-0.27601979140277955
20170424,0.049935684463994504
20170425,-0.016238998177576163
20170426,0.3812195617525572
20170427,3.1234430764177374
20170428,0.7665497502673437
20170502,0.08392727458716981
20170503,0.43355288241700174
20170504,0.9851970748873806
20170505,0.2636087261667976
20170508,0.9993428848273597
20170509,0.33335944859368605
20170510,0.7283868867117359
20170511,1.1108031181016385
20170512,-0.17588256891234777
20170515,-0.4745748709794665
20170516,1.227840102779416
20170517,2.794056224453201
20170518,0.972809220588362
20170519,-0.5401354927057286
20170522,-0.46171795170750124
20170523,0.03341996996051126
20170524,-0.3405383218270401
20170525,0.39962490391399097
20170526,-0.5387083033608401
20170531,0.1093507330103783
20170601,-0.3000150603688108
20170602,0.04580654983669231
20170605,-0.3733697839608075
20170606,-1.12915388947929
20170607,1.2843733495515195
20170608,0.03710105650227636
20170609,-0.8493559204869768
20170612,-1.1891161597130981
20170613,-0.23342602449313674
20170614,0.34668220049577314
20170615,3.3883650905706326
20170616,1.1818125185940969
20170619,-0.4384256300989538
20170620,1.1928779135943162
20170621,1.8406106773283468
20170622,1.1495831401909236
20170623,0.561216770903627
20170626,-0.066376688854013
20170627,-0.29778276422584443
20170628,-0.6867848925303026
20170629,-0.3141082563942912
20170630,-0.6387143778642289
20170703,1.09696874499365
20170704,0.4355210544103235
20170705,0.4214264925309082
20170706,2.212727683542711
20170707,0.5220447227634072
20170710,0.7617206856042334
20170711,-0.15704363086346126
20170712,0.4051060958857399
20170713,-0.6975739569090563
20170714,2.1972868258403033
