,ma_score,voltility_score,volume_score,bin
2017-05-03,-0.5738411829150869,-0.2925845787789347,0.09448367897477047,3
2017-05-04,-0.5913567280614245,-0.5206247760541168,0.08727812849022583,3
2017-05-05,-1.3113851060495822,-0.3741621274937429,-0.5252601770368778,3
2017-05-08,-2.0331674726877926,-0.10751139027779238,-0.46931229860213264,3
2017-05-09,-1.196466079615482,-0.0317224245041128,-0.962250686441088,3
2017-05-10,-1.6400851309946123,0.08724178396405427,-0.07562141878906484,3
2017-05-11,-1.162894666914293,0.2650282267428072,0.15403549345070858,3
2017-05-12,-0.8515524297261896,0.2585008632544853,-0.8189879551668289,3
2017-05-15,-0.2004555815900547,0.1436499497766366,-1.3559657349990968,3
2017-05-16,1.375183232462965,1.6431310874891736,0.9274027988164307,1
2017-05-17,1.0775813749268357,1.9468008465534403,1.5377944994002135,1
2017-05-18,0.4770918558056293,1.858441563679792,-0.467551575942095,0
2017-05-19,0.1250286806230703,1.8012180372441808,-1.1643461029594806,0
2017-05-22,-0.21143224064606433,1.6660642133296861,-0.7891227699242976,0
2017-05-23,-0.9358885397706163,1.3296507660048373,-0.06627818577821139,0
2017-05-24,-0.0977410768767159,1.5811294519017671,-0.6574329096467059,0
2017-05-25,0.29777546816691214,1.5451513271854809,0.48241100290512184,0
2017-05-26,-0.204884254144104,1.396371676800938,0.01303835770525518,0
2017-05-31,0.15702044723731004,1.3796816261110312,0.6916182495736386,0
2017-06-01,-0.644438675237375,1.4643946605002214,0.09980439265654242,0
2017-06-02,0.20221293744751792,1.654320945909881,-0.08235873950229755,0
2017-06-05,0.8799840502805822,1.6394227033315891,-0.7887234603696893,0
2017-06-06,1.2369634284112856,1.3971535058083564,-1.6185754522239018,0
2017-06-07,2.223876258651465,1.5685741019655226,1.93472324434953,1
2017-06-08,1.6193809320741526,1.4250841199631625,0.38153407014506874,1
2017-06-09,1.4958880018394538,0.9474172334650938,0.18606673961025585,1
2017-06-12,0.6346176312887372,1.0334756146794555,-0.19826522325382231,0
2017-06-13,1.070210485081467,1.2066041920980288,0.15047322437716093,0
2017-06-14,0.5111289420970198,1.343166501679034,0.04830288182825572,0
2017-06-15,1.1232135560752465,0.7680205625522326,2.1678335056335714,1
2017-06-16,0.8529913870602397,0.8093432332120515,0.4778068578186373,1
2017-06-19,0.8903121836303626,0.7943499570287441,-0.0041551047094036285,0
2017-06-20,0.7983758107974029,0.6929567462802672,0.4368274665271721,1
2017-06-21,1.0279339200848492,0.5899108810071944,1.46595389118484,1
2017-06-22,0.2677292070942404,0.6541530894917209,1.9188178130842122,1
2017-06-23,0.5825010028822792,0.4804452363450121,1.1974210548179336,1
2017-06-26,1.0419949032088676,0.5643529820780019,0.8113032541662032,1
2017-06-27,0.8498122463009955,0.4390368399467994,-0.012599977426375216,2
2017-06-28,0.24687360404931982,0.36437950966124566,-0.19922466868112856,0
2017-06-29,0.6428265994332759,0.03840136080285295,0.21747890592326968,2
2017-06-30,0.6298035620324849,-0.10860889819501922,-0.19100208407308078,2
2017-07-03,0.7257845086929131,-0.14262746685877475,0.3258701420738284,2
2017-07-04,-0.23541122082799276,-0.045978140077496656,0.11352214494301621,3
2017-07-05,0.9030316729001662,-0.9670769856323136,-0.10028142980312668,2
2017-07-06,0.7827639229094564,-0.9839004479260398,1.4162944261159103,1
2017-07-07,0.5678424195845462,-0.984493934961354,1.0046071181378007,1
2017-07-10,-1.3683852241435284,-0.6873358493022689,1.381699756719154,3
2017-07-11,-1.8083583443518259,-1.0446269694662182,0.3443042370059611,3
2017-07-12,-1.473719944427579,-1.2292058234050347,0.5171784722944587,3
2017-07-13,-1.3904301968981434,-1.6059067863179268,-0.3633161195821788,3
2017-07-14,-1.7848998395666138,-1.4703144190691755,0.43795071822711545,3
2017-07-17,-2.9891649868160783,1.3004944375668632,2.427106977217515,0
